"sensor_id","temperature","humidity","timestamp","transformed","year","month","day"
"sensor-36","4","14","1733647933","true","2024","12","8"
"sensor-67","8","54","1733648104","true","2024","12","8"
"sensor-5","22","33","1733647920","true","2024","12","8"
"sensor-99","29","16","1733648077","true","2024","12","8"
"sensor-92","15","72","1733647976","true","2024","12","8"
"sensor-2","20","73","1733648027","true","2024","12","8"
"sensor-84","-2","90","1733647831","true","2024","12","8"
"sensor-39","45","75","1733648043","true","2024","12","8"
"sensor-96","24","51","1733647916","true","2024","12","8"
"sensor-60","-18","58","1733647994","true","2024","12","8"
