"sensor_id","temperature","humidity","timestamp","transformed","year","month","day"
"sensor-34","10","70","1733647846","true","2024","12","8"
"sensor-39","45","75","1733648043","true","2024","12","8"
"sensor-32","17","56","1733647949","true","2024","12","8"
"sensor-96","24","51","1733647916","true","2024","12","8"
"sensor-92","43","61","1733648023","true","2024","12","8"
"sensor-84","-2","90","1733647831","true","2024","12","8"
"sensor-32","-2","55","1733647989","true","2024","12","8"
"sensor-2","20","73","1733648027","true","2024","12","8"
"sensor-5","4","74","1733648095","true","2024","12","8"
"sensor-30","12","64","1733648167","true","2024","12","8"
